t,p1,p2,p3,p4,p5,p6,v1,v2,v3,v4,v5,v6,pc1,pc2,pc3,pc4,pc5,pc6,vc1,vc2,vc3,vc4,vc5,vc6,j1,j2,j3,j4,j5,j6,t1,t2,t3,t4,t5,t6,Fx,Fy,Fz,Mx,My,Mz
0.031,0.396609,-0.000385244,0.208581,3.13867,-0.291633,-0.00147529,-0.0241193,-0.00619977,-0.052607,-0.0788822,-0.277538,-0.0487929,0.397731,-0.000143008,0.209686,3.10853,-0.312439,-0.000173764,0,0,0,0,0,0,0.000769578,0.808497,1.04905,3.13859,-1.57569,0.000149693,1.87331,-13.5309,-7.9569,-1.25811,-2.55431,0.0939644,0,0,0,0,0,0
0.032,0.39659,-0.000388648,0.208534,3.13855,-0.291941,-0.001566,-0.0238361,-0.00602411,-0.052276,-0.081659,-0.279452,-0.0514271,0.397742,-0.00014296,0.209666,3.10749,-0.313391,-0.000173706,0,0,0,0,0,0,0.000833785,0.80877,1.04883,3.13847,-1.57594,0.000159246,1.87257,-13.429,-7.96818,-1.28493,-2.58059,0.096706,0,0,0,0,0,0
0.033,0.396571,-0.000391689,0.208489,3.13842,-0.292243,-0.00165968,-0.0234961,-0.00583663,-0.0518037,-0.0844279,-0.280854,-0.0540814,0.397753,-0.000142912,0.209646,3.10644,-0.314344,-0.000173647,0,0,0,0,0,0,0.000900463,0.80904,1.0486,3.13834,-1.5762,0.000169069,1.86999,-13.2727,-7.97403,-1.31164,-2.60709,0.0994382,0,0,0,0,0,0
0.034,0.396554,-0.000394384,0.208447,3.13829,-0.292538,-0.00175624,-0.0231035,-0.00563928,-0.0512048,-0.0871888,-0.281793,-0.0567508,0.397764,-0.000142863,0.209625,3.10539,-0.315297,-0.000173589,0,0,0,0,0,0,0.000969557,0.809306,1.04837,3.13821,-1.57645,0.000179162,1.86584,-13.0681,-7.97441,-1.33824,-2.63379,0.102162,0,0,0,0,0,0
0.035,0.396538,-0.000396755,0.208407,3.13816,-0.292829,-0.00185565,-0.0226607,-0.00543392,-0.0504946,-0.0899415,-0.282313,-0.0594307,0.397775,-0.000142815,0.209605,3.10434,-0.31625,-0.00017353,0,0,0,0,0,0,0.00104101,0.80957,1.04814,3.13807,-1.57672,0.000189524,1.86036,-12.8219,-7.96851,-1.36473,-2.66068,0.104878,0,0,0,0,0,0
0.036,0.396523,-0.000398822,0.208369,3.13803,-0.293113,-0.00195782,-0.0221688,-0.00522234,-0.0496889,-0.0926859,-0.282454,-0.0621163,0.397786,-0.000142767,0.209585,3.1033,-0.317203,-0.000173472,0,0,0,0,0,0,0.00111476,0.809833,1.0479,3.13794,-1.57698,0.000200154,1.85381,-12.5415,-7.95514,-1.39111,-2.6878,0.107588,0,0,0,0,0,0
0.037,0.39651,-0.000400604,0.208333,3.13789,-0.293392,-0.0020627,-0.021629,-0.00500622,-0.0488035,-0.0954218,-0.282257,-0.0648032,0.397796,-0.000142719,0.209565,3.10225,-0.318156,-0.000173413,0,0,0,0,0,0,0.00119076,0.810093,1.04765,3.1378,-1.57725,0.000211051,1.8464,-12.2345,-7.93318,-1.41736,-2.71521,0.110293,0,0,0,0,0,0
0.038,0.396497,-0.000402125,0.2083,3.13775,-0.293667,-0.00217022,-0.0210431,-0.00478719,-0.0478546,-0.0981491,-0.281766,-0.0674873,0.397807,-0.000142671,0.209545,3.1012,-0.319109,-0.000173355,0,0,0,0,0,0,0.00126894,0.810353,1.04739,3.13766,-1.57752,0.000222214,1.83835,-11.9079,-7.90184,-1.4435,-2.74306,0.112992,0,0,0,0,0,0
0.039,0.396486,-0.000403403,0.208268,3.13761,-0.293937,-0.00228032,-0.0204149,-0.00456675,-0.0468583,-0.100868,-0.281026,-0.0701647,0.397818,-0.000142623,0.209525,3.10016,-0.320062,-0.000173296,0,0,0,0,0,0,0.00134923,0.810613,1.04713,3.13751,-1.57779,0.000233644,1.82988,-11.5684,-7.86096,-1.46952,-2.77151,0.115688,0,0,0,0,0,0
0.04,0.396476,-0.000404462,0.208237,3.13747,-0.294203,-0.00239293,-0.0197497,-0.00434632,-0.0458307,-0.103577,-0.280087,-0.0728316,0.397829,-0.000142574,0.209505,3.09911,-0.321015,-0.000173238,0,0,0,0,0,0,0.00143159,0.810873,1.04686,3.13737,-1.57807,0.000245339,1.82118,-11.2219,-7.8111,-1.49541,-2.80078,0.11838,0,0,0,0,0,0
0.041,0.396468,-0.000405321,0.208208,3.13732,-0.294466,-0.00250799,-0.0190549,-0.0041272,-0.0447876,-0.106278,-0.279005,-0.0754848,0.39784,-0.000142526,0.209485,3.09806,-0.321968,-0.000173179,0,0,0,0,0,0,0.00151594,0.811133,1.04659,3.13722,-1.57835,0.0002573,1.81243,-10.8737,-7.75352,-1.52117,-2.83107,0.121069,0,0,0,0,0,0
0.042,0.39646,-0.000406001,0.20818,3.13717,-0.294726,-0.00262543,-0.0183396,-0.0039106,-0.043744,-0.108969,-0.277837,-0.0781213,0.397851,-0.000142478,0.209465,3.09702,-0.32292,-0.00017312,0,0,0,0,0,0,0.00160223,0.811395,1.0463,3.13707,-1.57863,0.000269526,1.80378,-10.5281,-7.69014,-1.5468,-2.86258,0.123756,0,0,0,0,0,0
0.043,0.396453,-0.000406522,0.208152,3.13702,-0.294985,-0.00274521,-0.0176138,-0.00369762,-0.0427143,-0.111651,-0.27664,-0.0807383,0.397862,-0.00014243,0.209445,3.09597,-0.323873,-0.000173062,0,0,0,0,0,0,0.00169041,0.811659,1.04602,3.13691,-1.57891,0.000282018,1.7954,-10.1887,-7.62334,-1.5723,-2.89549,0.126441,0,0,0,0,0,0
0.044,0.396447,-0.000406903,0.208126,3.13687,-0.295243,-0.00286725,-0.0168884,-0.00348924,-0.0417117,-0.114324,-0.275474,-0.0833333,0.397873,-0.000142382,0.209424,3.09492,-0.324826,-0.000173003,0,0,0,0,0,0,0.00178041,0.811925,1.04572,3.13675,-1.5792,0.000294774,1.78743,-9.85852,-7.55574,-1.59765,-2.92993,0.129125,0,0,0,0,0,0
0.045,0.396442,-0.000407163,0.208099,3.13671,-0.295501,-0.0029915,-0.0161741,-0.00328634,-0.0407483,-0.116986,-0.274394,-0.0859042,0.397883,-0.000142334,0.209404,3.09387,-0.325779,-0.000172945,0,0,0,0,0,0,0.00187219,0.812193,1.04542,3.1366,-1.57949,0.000307796,1.77997,-9.54004,-7.49002,-1.62287,-2.96599,0.131808,0,0,0,0,0,0
0.046,0.396437,-0.00040732,0.208073,3.13655,-0.295761,-0.0031179,-0.0154809,-0.0030897,-0.0398346,-0.119639,-0.273453,-0.0884492,0.397894,-0.000142285,0.209384,3.09283,-0.326732,-0.000172886,0,0,0,0,0,0,0.00196568,0.812464,1.04511,3.13643,-1.57979,0.000321083,1.77316,-9.23539,-7.42869,-1.64794,-3.00368,0.13449,0,0,0,0,0,0
0.047,0.396432,-0.00040739,0.208047,3.13639,-0.296022,-0.00324642,-0.0148178,-0.00289999,-0.0389798,-0.122281,-0.272696,-0.0909665,0.397905,-0.000142237,0.209364,3.09178,-0.327685,-0.000172828,0,0,0,0,0,0,0.00206084,0.812738,1.0448,3.13627,-1.58009,0.000334636,1.76707,-8.94645,-7.37393,-1.67286,-3.04299,0.137172,0,0,0,0,0,0
0.048,0.396427,-0.00040739,0.20802,3.13622,-0.296286,-0.00337699,-0.0141922,-0.00271777,-0.0381914,-0.124913,-0.272162,-0.0934548,0.397916,-0.000142189,0.209344,3.09073,-0.328638,-0.000172769,0,0,0,0,0,0,0.00215763,0.813016,1.04449,3.1361,-1.58039,0.000348454,1.76179,-8.67487,-7.32746,-1.69764,-3.08383,0.139854,0,0,0,0,0,0
0.049,0.396422,-0.000407334,0.207994,3.13606,-0.296554,-0.00350957,-0.0136096,-0.00254351,-0.0374754,-0.127534,-0.271882,-0.0959131,0.397927,-0.000142141,0.209324,3.08969,-0.329591,-0.000172711,0,0,0,0,0,0,0.00225599,0.813298,1.04417,3.13593,-1.5807,0.000362537,1.75739,-8.42221,-7.29052,-1.72226,-3.1261,0.142536,0,0,0,0,0,0
0.05,0.396417,-0.000407237,0.207966,3.13589,-0.296826,-0.00364411,-0.0130741,-0.00237758,-0.0368363,-0.130145,-0.271879,-0.0983403,0.397938,-0.000142093,0.209304,3.08864,-0.330544,-0.000172652,0,0,0,0,0,0,0.00235588,0.813583,1.04385,3.13576,-1.58101,0.000376886,1.75392,-8.18987,-7.26382,-1.74674,-3.16964,0.145218,0,0,0,0,0,0
0.051,0.396411,-0.00040711,0.207938,3.13572,-0.297102,-0.00378058,-0.0125878,-0.00222025,-0.0362772,-0.132744,-0.272171,-0.100736,0.397949,-0.000142045,0.209284,3.08759,-0.331497,-0.000172594,0,0,0,0,0,0,0.00245727,0.813873,1.04352,3.13559,-1.58132,0.000391501,1.75143,-7.97913,-7.24761,-1.77107,-3.21431,0.147899,0,0,0,0,0,0
0.052,0.396406,-0.000406967,0.20791,3.13554,-0.297384,-0.00391893,-0.0121515,-0.00207174,-0.0357999,-0.135332,-0.272764,-0.103099,0.39796,-0.000141996,0.209264,3.08655,-0.332449,-0.000172535,0,0,0,0,0,0,0.00256012,0.814168,1.04319,3.13541,-1.58164,0.000406382,1.74995,-7.79105,-7.24175,-1.79526,-3.25993,0.150581,0,0,0,0,0,0
0.053,0.3964,-0.000406817,0.20788,3.13537,-0.297671,-0.00405912,-0.0117648,-0.00193213,-0.0354047,-0.137909,-0.273663,-0.10543,0.39797,-0.000141948,0.209244,3.0855,-0.333402,-0.000172477,0,0,0,0,0,0,0.00266438,0.814467,1.04285,3.13523,-1.58197,0.000421529,1.7495,-7.62651,-7.2458,-1.8193,-3.30634,0.153263,0,0,0,0,0,0
0.054,0.396393,-0.00040667,0.20785,3.13519,-0.297964,-0.00420113,-0.0114263,-0.00180149,-0.0350911,-0.140474,-0.274864,-0.107728,0.397981,-0.0001419,0.209223,3.08445,-0.334355,-0.000172418,0,0,0,0,0,0,0.00277004,0.814772,1.04251,3.13505,-1.5823,0.000436943,1.7501,-7.48606,-7.25913,-1.8432,-3.35339,0.155945,0,0,0,0,0,0
0.055,0.396387,-0.000406534,0.207818,3.13501,-0.298263,-0.00434492,-0.0111342,-0.00167978,-0.0348576,-0.143028,-0.27636,-0.109994,0.397992,-0.000141852,0.209203,3.0834,-0.335308,-0.00017236,0,0,0,0,0,0,0.00287706,0.815082,1.04217,3.13487,-1.58263,0.000452622,1.75175,-7.36993,-7.28104,-1.86696,-3.40094,0.158627,0,0,0,0,0,0
0.056,0.396379,-0.000406417,0.207786,3.13482,-0.298567,-0.00449045,-0.0108861,-0.00156691,-0.0347015,-0.14557,-0.278143,-0.112227,0.398003,-0.000141804,0.209183,3.08236,-0.336261,-0.000172301,0,0,0,0,0,0,0.00298541,0.815397,1.04182,3.13468,-1.58297,0.000468569,1.75443,-7.27801,-7.31079,-1.89058,-3.44885,0.161309,0,0,0,0,0,0
0.057,0.396372,-0.000406326,0.207753,3.13464,-0.298878,-0.00463772,-0.0106797,-0.00146273,-0.0346199,-0.1481,-0.280199,-0.114429,0.398014,-0.000141756,0.209163,3.08131,-0.337214,-0.000172243,0,0,0,0,0,0,0.00309508,0.815718,1.04147,3.13449,-1.58331,0.000484782,1.75814,-7.20979,-7.34771,-1.91406,-3.49702,0.163991,0,0,0,0,0,0
